iter	Passed	Remaining
167	1325	6566
168	1332	6551
169	1341	6549
170	1350	6547
171	1361	6553
172	1364	6523
173	1365	64174	1393	6568
175	1401	6560
176	1404	6528
177	1428	6597
178	1431	6566
179	1433	6529
180	1444	6534
181	1452	6530
182	1454	6494
183	1456	6459
184	1458	6424
185	1461	6396
186	1473	6405
187	1487	6424
188	1489	6392
189	1492	6361
190	1494	6330
191	1497	6302
192	1500	6274
193	1508	6265
194	1515	6254
195	1522	6243
196	1531	6243
197	1542	6246
198	1550	6241
199	1558	6235
200	1560	6202
201	1561	6169
202	1563	6137
203	1566	6111
204	1574	6106
205	1577	6081
206	1585	6074
207	1590	6057
208	1596	6041
209	1599	6016
210	1603	5997
211	1607	5975
212	1619	5982
213	1625	5969
214	1631	5957
215	1642	5963
216	1649	5953
217	1656	5941
218	1664	5935
219	1672	5929
220	1685	5942
221	1695	5942
222	1698	5918
223	1711	5930
224	1723	5937
225	1742	5967
226	1748	5954
227	1752	5933
228	1755	5908
229	1765	5911
230	1775	5909
231	1782	5901
232	1791	5897
233	1795	5876
234	1809	5889
235	1810	5862
236	1820	5861
237	1823	5837
238	1835	5844
239	1843	5838
240	1852	5833
241	1864	5840
242	1868	5819
243	1878	5819
244	1885	5811
245	1893	5802
246	1900	5794
247	1913	5800
248	1924	5805
249	1933	5800
250	1936	5777
251	1951	5793
252	1961	5792
253	1970	5787
254	1975	5770
255	1986	5774
256	1990	5754
257	1992	5729
258	1993	5703
259	2007	5714
260	2015	5705
261	2021	5695
262	2023	5669
263	2029	5657
264	2041	5662
265	2052	5662
266	2054	5641
267	2066	5643
268	2072	5631
269	2078	5620
270	2082	5601
271	2100	5620
272	2101	5597
273	2104	5575
274	2109	5562
275	2118	5558
276	2125	5547
277	2127	5526
278	2129	5502
279	2140	5505
280	2142	5481
281	2143	5458
282	2145	5436
283	2147	5413
284	2149	5392
285	2158	5388
286	2163	5373
287	2169	5363
288	2178	5359
289	2185	5350
290	2188	5331
291	2189	5309
292	2191	5287
293	2197	5277
294	2201	5262
295	2203	5241
296	2205	5220
297	2206	5198
298	2218	5200
299	2222	5185
300	2224	5166
301	2227	5149
302	2237	5146
303	2240	5129
304	2247	5121
305	2252	5109
306	2259	5100
307	2269	5099
308	2273	5083
309	2283	5082
310	2287	5067
311	2289	5049
312	2299	5046
313	2303	5033
314	2311	5026
315	2317	5016
316	2321	5001
317	2325	4986
318	2329	4973
319	2334	4959
320	2335	4939
321	2336	4920
322	2345	4915
323	2362	4929
324	2365	4912
325	2367	4895
326	2369	4876
327	2370	4857
328	2374	4842
329	2375	4823
330	2377	4804
331	2378	4786
332	2380	4768
333	2383	4753
334	2392	4748
336	2385	4693
337	2388	4678
338	2394	4668
339	2399	4658
339	2419	4697
340	2425	4687
342	2417	4630
342	2432	4659
344	2431	4615
345	2439	4611
346	2448	4607
347	2460	4610
348	2467	4602
349	2474	4595
350	2480	4587
351	2484	4574
352	2487	4559
353	2499	4560
354	2506	4554
355	2517	4553
356	2523	4544
357	2527	4532
358	2528	4515
359	2530	4499
360	2532	4483
361	2537	4471
362	2541	4460
363	2544	4446
364	2553	4442
365	2560	4435
366	2567	4428
367	2575	4423
368	2583	4417
369	2590	4410
370	2599	4407
371	2607	4401
372	2615	4396
373	2622	4389
374	2628	4380
375	2639	4380
376	2643	4368
377	2644	4351
378	2650	4343
379	2655	4332
380	2657	4317
380	2680	4355
381	2689	4350
382	2697	4344
383	2699	4330
384	2708	4326
385	2717	4322
386	2726	4318
387	2733	4311
388	2739	4303
389	2743	4291
390	2749	4282
391	2751	4268
392	2759	4262
393	2767	4255
394	2774	4248
395	2775	4233
396	2776	4217
397	2781	4207
398	2783	4192
399	2801	4201
400	2809	4197
401	2812	4183
402	2825	4185
403	2835	4183
404	2838	4169
405	2843	4159
406	2856	4161
407	2862	4153
408	2868	4144
409	2874	4136
410	2883	4131
411	2890	4124
412	2900	4122
413	2916	4128
414	2922	4119
415	2924	4106
416	2926	4091
417	2928	4077
418	2934	4069
419	2941	4061
420	2944	4048
421	2948	4038
422	2960	4038
423	2968	4032
424	2987	4041
425	2999	4041
426	3006	4034
427	3012	4026
428	3021	4021
429	3029	4015
430	3039	4012
431	3048	4007
432	3055	4001
433	3063	3994
434	3072	3991
435	3089	3996
436	3091	3982
437	3098	3975
438	3100	3961
439	3104	3951
440	3109	3941
441	3124	3944
442	3131	3937
443	3140	3933
444	3151	3930
445	3160	3925
446	3166	3917
447	3169	3905
448	3183	3907
449	3185	3893
450	3191	3885
451	3200	3880
452	3203	3868
453	3210	3861
454	3231	3870
455	3236	3861
456	3242	3852
457	3262	3860
458	3277	3863
459	3284	3855
460	3289	3845
461	3309	3853
462	3318	3849
463	3327	3843
464	3339	3842
465	3347	3835
466	3359	3834
467	3371	3833
468	3378	3824
469	3385	3817
470	3395	3813
471	3398	3801
472	3408	3798
473	3420	3796
474	3426	3786
475	3434	3780
476	3450	3783
477	3458	3776
478	3467	3771
479	3482	3772
480	3489	3765
481	3497	3758
482	3509	3756
483	3519	3752
484	3526	3744
485	3535	3738
486	3540	3729
487	3544	3718
488	3551	3711
489	3557	3703
490	3566	3697
491	3576	3692
492	3586	3688
493	3598	3685
494	3609	3682
495	3622	3680
496	3632	3676
497	3643	3673
498	3650	3665
499	3660	3660
500	3677	3663
501	3687	3658
502	3701	3657
503	3710	3651
504	3714	3641
505	3725	3637
506	3741	3637
507	3752	3634
508	3765	3631
509	3776	3628
510	3789	3626
511	3794	3616
512	3796	3604
513	3800	3593
514	3817	3594
515	3829	3591
516	3834	3582
517	3835	3569
518	3841	3560
519	3853	3557
520	3859	3548
521	3862	3536
522	3863	3523
523	3872	3518
524	3875	3506
525	3878	3494
526	3886	3488
527	3907	3492
528	3917	3488
529	3924	3480
530	3927	3468
531	3932	3459
532	3934	3447
533	3941	3439
534	3955	3438
535	3966	3433
536	3973	3425
537	3978	3416
538	3982	3405
539	3983	3393
540	3986	3382
541	3987	3369
542	3990	3358
543	3993	3347
544	3996	3336
545	4004	3329
546	4011	3322
547	4016	3312
548	4024	3305
549	4029	3296
550	4035	3288
551	4037	3277
552	4041	3267
553	4047	3258
554	4051	3248
555	4052	3236
556	4054	3224
557	4058	3215
558	4065	3207
559	4070	3197
560	4072	3187
561	4078	3178
562	4081	3168
563	4084	3157
564	4086	3146
565	4095	3140
566	4100	3131
567	4104	3121
568	4114	3116
569	4120	3108
570	4122	3097
571	4126	3087
572	4130	3077
573	4132	3067
574	4135	3056
575	4141	3048
576	4145	3039
577	4148	3028
578	4157	3022
579	4159	3012
580	4161	3001
581	4165	2991
582	4169	2982
583	4172	2971
584	4181	2966
585	4187	2958
586	4192	2949
587	4203	2945
588	4215	2941
589	4216	2930
590	4218	2919
591	4220	2908
592	4225	2900
593	4228	2890
594	4238	2885
595	4243	2876
596	4248	2867
597	4254	2859
598	4257	2849
599	4260	2840
600	4264	2831
601	4273	2825
602	4275	2814
603	4283	2808
604	4294	2803
605	4300	2796
606	4302	2785
607	4303	2774
608	4305	2764
609	4309	2755
610	4315	2747
611	4321	2739
612	4328	2732
613	4332	2723
614	4333	2712
615	4334	2702
616	4340	2694
617	4341	2683
618	4349	2677
619	4359	2671
620	4361	2661
621	4370	2656
622	4377	2648
623	4386	2643
624	4394	2636
625	4401	2629
626	4408	2622
627	4415	2615
628	4435	2616
629	4447	2611
630	4459	2608
631	4467	2601
632	4475	2594
633	4489	2591
634	4498	2585
635	4501	2576
636	4506	2567
637	4516	2562
638	4520	2553
639	4527	2546
640	4536	2540
641	4542	2533
642	4550	2526
643	4559	2520
644	4570	2515
645	4576	2507
646	4591	2504
647	4599	2498
648	4606	2491
649	4618	2486
650	4621	2477
651	4629	2471
652	4634	2462
653	4635	2452
654	4638	2443
655	4640	2433
656	4643	2424
657	4644	2414
658	4646	2404
659	4648	2394
660	4654	2387
661	4656	2377
662	4659	2368
663	4665	2360
664	4672	2353
665	4674	2344
666	4677	2335
667	4678	2325
668	4680	2316
669	4682	2306
670	4684	2296
671	4686	2287
672	4690	2279
673	4696	2271
674	4709	2267
675	4718	2261
676	4721	2252
677	4723	2243
678	4726	2234
679	4738	2229
680	4743	2221
681	4745	2212
682	4748	2203
683	4750	2194
684	4753	2185
685	4758	2177
686	4763	2170
687	4765	2161
688	4775	2155
689	4778	2146
690	4785	2139
691	4789	2131
692	4791	2122
693	4794	2114
694	4804	2108
695	4806	2099
696	4814	2092
697	4820	2085
698	4829	2079
699	4835	2072
700	4847	2067
701	4850	2058
702	4855	2051
703	4857	2042
704	4863	2035
705	4866	2026
706	4870	2018
707	4872	2009
708	4874	2000
709	4888	1996
710	4898	1991
711	4904	1983
712	4906	1975
713	4916	1969
714	4922	1962
715	4934	1957
716	4937	1948
717	4951	1944
718	4966	1940
719	4980	1936
720	4982	1928
721	4986	1919
722	4989	1911
723	4997	1905
724	5003	1897
725	5016	1893
726	5020	1885
727	5024	1877
728	5038	1873
729	5050	1868
730	5058	1861
731	5066	1854
732	5067	1846
733	5069	1837
734	5071	1828
735	5076	1820
736	5086	1814
737	5095	1808
738	5096	1799
739	5100	1792
740	5104	1784
741	5113	1777
742	5118	1770
743	5121	1762
744	5125	1754
745	5132	1747
746	5141	1741
747	5155	1736
748	5157	1728
749	5163	1721
750	5169	1713
751	5176	1707
752	5187	1701
753	5191	1693
754	5193	1685
755	5195	1676
756	5207	1671
757	5218	1665
758	5225	1659
759	5234	1652
760	5238	1645
761	5250	1639
762	5253	1631
763	5260	1625
764	5267	1618
765	5279	1612
766	5284	1605
767	5288	1597
768	5290	1589
769	5301	1583
770	5313	1578
771	5317	1570
772	5331	1565
773	5336	1558
774	5339	1550
775	5342	1542
776	5344	1533
777	5345	1525
778	5347	1517
779	5349	1508
780	5358	1502
781	5360	1494
782	5362	1486
783	5364	1477
784	5373	1471
785	5384	1466
786	5392	1459
787	5398	1452
788	5414	1448
789	5419	1440
790	5426	1433
791	5439	1428
792	5446	1421
793	5459	1416
794	5467	1409
795	5481	1404
796	5491	1398
797	5492	1390
798	5502	1384
799	5509	1377
800	5520	1371
801	5528	1364
802	5543	1359
803	5559	1355
804	5578	1351
805	5588	1345
806	5596	1338
807	5611	1333
808	5618	1326
809	5633	1321
810	5635	1313
811	5652	1308
812	5662	1302
813	5669	1295
814	5677	1288
815	5679	1280
816	5686	1273
817	5692	1266
818	5707	1261
819	5717	1255
820	5720	1247
821	5731	1241
822	5747	1236
823	5758	1229
824	5764	1222
825	5773	1216
826	5781	1209
827	5786	1202
828	5792	1194
829	5799	1187
830	5806	1180
831	5809	1173
832	5820	1166
833	5829	1160
834	5831	1152
835	5834	1144
836	5842	1137
837	5851	1131
838	5860	1124
839	5863	1116
840	5866	1109
841	5874	1102
842	5887	1096
843	5890	1088
844	5897	1081
845	5904	1074
846	5906	1066
847	5908	1059
848	5914	1051
849	5921	1044
850	5926	1037
851	5928	1029
852	5932	1022
853	5938	1015
854	5942	1007
855	5949	1000
856	5950	992
857	5957	986
858	5966	979
859	5971	972
860	5975	964
861	5980	957
862	5984	950
863	5986	942
864	5989	934
865	5993	927
866	6001	920
867	6003	913
868	6011	906
869	6013	898
870	6014	890
871	6016	883
872	6023	876
873	6030	869
874	6033	861
875	6038	854
876	6041	847
877	6048	840
878	6051	833
879	6063	826
880	6069	819
881	6074	812
882	6076	805
883	6085	798
884	6092	791
885	6095	784
886	6097	776
887	6099	769
888	6100	761
889	6106	754
890	6114	748
891	6120	741
892	6128	734
893	6130	726
894	6139	720
895	6147	713
896	6153	706
897	6155	699
898	6157	691
899	6161	684
900	6180	679
901	6194	672
902	6205	666
903	6214	659
904	6220	652
905	6225	645
906	6231	638
907	6233	631
908	6237	624
909	6242	617
910	6245	610
911	6248	602
912	6251	595
913	6257	588
914	6259	581
915	6268	574
916	6270	567
917	6272	560
918	6277	553
919	6284	546
920	6289	539
921	6294	532
922	6295	525
923	6305	518
924	6308	511
925	6316	504
926	6317	497
927	6318	490
928	6319	482
929	6320	475
930	6322	468
931	6323	461
932	6325	454
933	6326	447
934	6328	439
935	6329	432
936	6330	425
937	6332	418
938	6338	411
939	6345	405
940	6346	397
941	6348	390
942	6352	383
943	6354	376
944	6364	370
945	6365	363
946	6369	356
947	6379	349
948	6384	343
949	6385	336
950	6387	329
951	6390	322
952	6396	315
953	6399	308
954	6403	301
955	6404	294
956	6406	287
957	6407	280
958	6409	274
959	6410	267
960	6412	260
961	6414	253
962	6416	246
963	6418	239
964	6419	232
965	6422	226
966	6423	219
967	6425	212
968	6426	205
969	6429	198
970	6430	192
971	6433	185
972	6435	178
973	6436	171
974	6438	165
975	6439	158
976	6440	151
977	6441	144
978	6442	138
979	6443	131
980	6444	124
981	6445	118
982	6446	111
983	6448	104
984	6449	98
985	6450	91
986	6451	84
987	6452	78
988	6453	71
989	6454	65
990	6456	58
991	6457	52
992	6458	45
993	6459	38
994	6460	32
995	6461	25
996	6462	19
997	6463	12
998	6465	6
999	6466	0
