iter	Logloss
0	0.6918760698
1	0.6898176142
2	0.688228092
3	0.686580958
4	0.6848505718
5	0.6835342833
6	0.6822656968
7	0.6805538418
8	0.6792537187
9	0.677810977
10	0.6768968418
11	0.673666138712	0.673637533
13	0.6723104955
14	0.6707491416
15	0.6700283338
1616	0.67027047617	0.6676773317
1818	0.6672163191919	0.6660475823
20	0.6653868135
21	0.6641073237
22	0.6629961156
23	0.6617293732424	0.6602733292525	0.65965084226	0.6573489633227	0.656302290328	0.652514402
29	029	0.655034830	0.6506658019
31	0.6494451479
32	0.6480643733
33	0.6468986911334	0.646080989335	0.6454262636	36	36	0.6482962337	37	0.647417438	0.6416285933
39	0.6402752651
40	040	0.644561841	041	0.6437621444
42	0.6430443524
43	0.6422116576
44	0.6411136551
45	0.6400818521
46	0.6396005498
47	0.6388021404
48	0.6381182125
49	0.6373230883
50	0.6364722656
51	0.6356420386
52	0.6343565444
53	0.6336998854
54	0.6327080203
55	0.6321540496
56	0.631540458
57	0.6309342672
58	0.6303307675
59	0.6298395353
60	0.6286994736
61	0.6281206008
62	0.6272375738
63	0.6263388283
64	0.625540259
65	0.6248801352
66	0.6240649686
67	0.6232871006
68	0.6226156471
69	0.6217739473
70	0.6212446312
71	0.6205452949
72	0.6200050199
73	0.6194413067
74	0.6185468266
75	0.6177586439
76	0.6170837765
77	0.6164781048
78	0.6157584982
79	0.6148986672
80	0.6140846019
81	0.6134530849
82	0.6122810813
83	0.6117377365
84	0.6111412766
85	0.6106638158
86	0.6098893878
87	0.6092725307
88	0.6086957851
89	0.6080501233
90	0.6075247391
91	0.6069153279
92	0.6063994001
93	0.6060753284
94	0.6056052981
95	0.6052532791
96	0.6044368563
97	0.60391198	0.98	0.60326699	0.99	0.602432100	0.5951038922
101	0.5943386874
102	0102	0.600710103	103	0.6003625411
104	0.5995787725
105	0.5991537182
106	0.5987268715
107	0.5983627165
108	0.5978965225
109	0.5974189759
110	0.5965935212
111	0.595840112	0112	0.5954315575
113	0.594884114	0114	0.5944799856
115	0.59422116	0.5864424615
117	0.117	0.59304118	0.5855130093
119	0.5848168987
120	0.5842676684
121	0.583637599
122	0.5829666216
123	0.5824492621
124	0.5820107554
125	0.5816452693
126	0.5811233615
127	0.5805024608
128	0.5799732858
129	0.5797772316
130	0.5791161224
131	0.5785093777
132	0.577616756
133	0.5770090459
134	0.576353353
135	0.5756694044
136	0.5752389344
137	0.5745473804
138	0.573909673
139	0.5734258649
140	0.5730100481
141	0.5721126102
142	0.5716305361
143	0.5711500494
144	0.5706533487
145	0.5700886217
146	0.5696224108
147	0.5691988995
148	0.5689455104
149	0.5684371411
150	0.5678741784
151	0.567472797
152	0.5668745999
153	0.5662265931
154	0.565615752
155	0.5651517285
156	0.5645490763
157	0.5640898517
158	0.5635917557
159	0.5629995648
160	0.5625069576
161	0.5621032365
162	0.5617773117
163	0.5615046176
164	0.5609945816
165	0.5604620945
166	0.5601380267
167	0.5595970885
168	0.5592456897
169	0.5589208255
170	0.5584156284
171	0.5579043443
172	0.5574209963
173	0.5570055059
174	0.174	0.5670689583
175	0.5666713131
176	0.5664841381
177	0.5661707142
178	0.5655246396
179	0.565159978
180	0.564673424
181	0.5640977597
182	0.5636065483
183	0.5633229307
184	0.5628905702
185	0.5623103245
186	0.5619827204
187	0.5616961534
188	0.5612593576
189	0.5607868483
190	0.5604527211
191	0.5598266051
192	0.559262453
193	0.5588274026
194	0.5583314549
195	0.5581587601
196	0.5578153578
197	0.5575200058
198	0.5571194701
199	0.556523392
200	0.5561720529
201	0.5557073059
202	0.555241334
203	0.5549221301
204	0.5545559322
205	0.5542542964
206	0.5537803353
207	0.5533052
208	0.5529054228
209	0.5524227738
210	0.5521220796
211	0.5516655048
212	0.5511896265
213	0.5507387943
214	0.5503212969
215	0.5501465981
216	0.5499344274
217	0.5496204091
218	0.5491794312
219	0.5488971513
220	0.548650407
221	0.5481625436
222	0.547727708
223	0.5474133195
224	0.5470579398
225	0.5467741227
226	0.5466154635
227	0.5461460637
228	0.5457441375
229	0.5454908377
230	0.5452055161
231	0.5448935343
232	0.5444547165
233	0.5441325748
234	0.5438484041
235	0.5434446515
236	0.5430587627
237	0.5425070371
238	0.5421174448
239	0.541872534
240	0.541337206
241	0.5409158495
242	0.5402983253
243	0.5401145902
244	0.5397218172
245	0.5393898177
246	0.5390377707
247	0.5385034706
248	0.5378799788
249	0.5374789089
250	0.5370345978
251	0.536659169
252	0.5363044851
253	0.5359901761
254	0.5357370147
255	0.5354409016
256	0.5351423418
257	0.5349366779
258	0.5344502794
259	0.5342396005
260	0.5339236724
261	0.5337718802
262	0.5332502066
263	0.5330300303
264	0.5325873407
265	0.5323240172
266	0.532108484
267	0.5317516946
268	0.5314495156
269	0.5310812281
270	0.5306817364
271	0.5303357283
272	0.5299407069
273	0.5294534806
274	0.52921785
275	0.5289078824
276	0.5285936149
277	0.5283169966
278	0.5280369212
279	0.5276644665
280	0.5274299142
281	0.5271242916
282	0.5267200972
283	0.5265258354
284	0.5261645088
285	0.5259605901
286	0.5258393917
287	0.5255139714
288	0.5252781412
289	0.5251142547
290	0.5247807855
291	0.5244663085
292	0.5241704257
293	0.5237887869
294	0.5234574952
295	0.5231930639
296	0.5228922733
297	0.5225968405
